Label TC,Pinyin,Translation,Name TC,Name EN,Others TC,Others EN,Region,Category,Kamal Notes,Source URL,Wiki EN,Wiki ZH,LOC URL,Page,x,y,lat,lng,Kamal Angle,geometry.type,type
靈山橋,Língshānqiáo,Spirit Mountain Bridge,靈山根,Lingshangen Village,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Lingshan_station,https://zh.wikipedia.org/wiki/%E7%81%B5%E5%B1%B1%E7%AB%99_(%E5%8D%97%E4%BA%AC%E5%9C%B0%E9%93%81),https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,104182,2890,32.077,118.934,,Point,Feature
覬音山,Jìyīnshān,Coveted Sound Mountain,在观音门外，北演大江，西连攻许，东连临沂、街阳诸山，都是是关陆辟，地势险要。,Badou Mountain?,,,Jiangsu,mountain,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,104013,1990,32.149,118.831,,Point,Feature
觀音門,Guānyīnmén,Observed Sound Mountain,觀音門,Guanyin Gate,,,Jiangsu,building,,https://books.google.com.hk/books?id=DjQ9AAAAIAAJ&pg=PA260,,https://baike.baidu.com/item/%E8%A7%82%E9%9F%B3%E9%97%A8,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,103664,1803,32.143,118.815,,Point,Feature
燕子磯,Yànzijī,Swallow Rock,燕子矶,Yanziji Village,,,Jiangsu,town,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Swallow_Rock,https://zh.wikipedia.org/wiki/%E7%87%95%E5%AD%90%E7%9F%B6,https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,103549,2625,32.137,118.803,,Point,Feature
龍潭,Lóngtán,Dragon Pond,龍潭,"Longtan Street, Qixia District",,,Jiangsu,town,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Qixia_District,https://zh.wikipedia.org/wiki/%E9%BE%99%E6%BD%AD%E8%A1%97%E9%81%93_(%E5%8D%97%E4%BA%AC%E5%B8%82),https://loc.gov/resource/g7821rm.gct00058/?sp=1,2,103157,1835,32.177,119.056,,Point,Feature
斬龍廟,Zhǎnlóngmiào,Beheaded Dragon Temple,"据《地图综要，江防图》, 新龙庙在仪征西方之青山墩上，  今吾山仿存，高77米。",Qingshan riverside,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=2,3,102800,3585,32.248,119.076,,Point,Feature
高子港,Gāozǐgǎng,Tall Child Port,高资镇,Gaozi,,,Jiangsu,water body,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Dantu_District,https://zh.wikipedia.org/wiki/%E9%AB%98%E8%B5%84%E9%95%87,https://loc.gov/resource/g7821rm.gct00058/?sp=2,3,102500,1563,32.174,119.303,,Point,Feature
礬山,Fánshān,Alum Mountain,砚山顶,Yanshan,,,Jiangsu,island,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=2,3,102302,3101,32.179,119.433,,Point,Feature
天寧州,Tiānníngzhōu,Island of Heavenly Peace,靖安街道,Jing'an Residential District,,,Jiangsu,island,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://zh.wikipedia.org/wiki/%E5%A4%A9%E5%AE%81%E5%AF%BA_(%E6%89%AC%E5%B7%9E),https://loc.gov/resource/g7821rm.gct00058/?sp=2,3,102210,2484,32.214,119.211,,Point,Feature
儀真,Yízhēn,Instrument of Truth,儀真,Yizhen,,,Jiangsu,town,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Yizheng,https://zh.wikipedia.org/wiki/%E4%BB%AA%E5%BE%81%E5%B8%82,https://loc.gov/resource/g7821rm.gct00058/?sp=2,3,101791,3931,32.288,119.158,,Point,Feature
鎮江,Zhènjiāng,Town River,鎮江,Zhenjiang Town,,,Jiangsu,town,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Zhenjiang,https://zh.wikipedia.org/wiki/%E9%95%87%E6%B1%9F%E5%B8%82,https://loc.gov/resource/g7821rm.gct00058/?sp=2,3,101620,1562,32.181,119.372,,Point,Feature
金山,Jīnshān,Gold Mountain,金山,Jinshan,,,Jiangsu,island,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Jinshan_Temple_(Zhenjiang),https://zh.wikipedia.org/wiki/%E9%87%91%E5%B1%B1_(%E9%95%87%E6%B1%9F),https://loc.gov/resource/g7821rm.gct00058/?sp=2,3,101316,2008,32.226,119.422,,Point,Feature
丹徒,Dāntú,Red Only,丹徒,Dantu Town,,,Jiangsu,town,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Dantu_District,https://zh.wikipedia.org/wiki/%E4%B8%B9%E5%BE%92%E5%8C%BA,https://loc.gov/resource/g7821rm.gct00058/?sp=2,3,101247,1200,32.143,119.357,,Point,Feature
瓜洲,Guāzhōu,Melon Island,瓜州,Guazhou,,,Jiangsu,town,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://zh.wikipedia.org/wiki/%E7%93%9C%E6%B4%B2%E9%95%87,https://loc.gov/resource/g7821rm.gct00058/?sp=2,3,100916,3614,32.248,119.384,,Point,Feature
焦山,Jiāoshān,Burnt Mountain,焦山,Jiaoshan,,,Jiangsu,mountain,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Jiaoshan,https://zh.wikipedia.org/wiki/%E7%84%A6%E5%B1%B1,https://loc.gov/resource/g7821rm.gct00058/?sp=2,3,100787,1799,32.238,119.484,,Point,Feature
大港,Dàgǎng,Big Harbor,大港港區鎮江港,"Dagang Port Area, Zhenjiang",,,Jiangsu,water body,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Port_of_Zhenjiang,,https://loc.gov/resource/g7821rm.gct00058/?sp=2,3,100777,1208,32.192,119.662,,Point,Feature
圌山,Chuíshān,Round Mountain,圌山,Chuishan,洗山、誰山、譙山、瞿山、仙鶴山,,Jiangsu,mountain,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://zh.wikipedia.org/wiki/%E5%9C%8C%E5%B1%B1,https://loc.gov/resource/g7821rm.gct00058/?sp=2,4,100194,1549,32.216,119.716,,Point,Feature
江陰縣,Jiāngyīnxiàn,River Shade County,江陰市,Jiangyin,,,Jiangsu,town,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Jiangyin,https://zh.wikipedia.org/wiki/%E6%B1%9F%E9%98%B4%E5%B8%82,https://loc.gov/resource/g7821rm.gct00058/?sp=2,4,99692,1563,31.907,120.259,,Point,Feature
石牌灣,Shípáiwān,Stone Plate Bay,白屈港口,Baiqu Port,,,Jiangsu,water body,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://baike.baidu.com/item/%E7%99%BD%E5%B1%88%E6%B8%AF,https://loc.gov/resource/g7821rm.gct00058/?sp=2,4,99466,1591,31.949,120.322,,Point,Feature
淺沙,qiǎnshā,shallow sand,,,,,Jiangsu,descriptor,,,,,https://loc.gov/resource/g7821rm.gct00058/?sp=2,4,99144,2070,,,,Point,Feature
香山,Xiāngshān,Fragrant Hill,香山,Fragrance Hill Scenic Area,,,Jiangsu,mountain,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%866,,https://baike.baidu.com/item/%E9%A6%99%E5%B1%B1/6675394,https://loc.gov/resource/g7821rm.gct00058/?sp=2,4,99075,1434,31.929,120.393,,Point,Feature
西鞋山,Xīxiéshān,West Boot Island,孤山镇,Gushanzhen,,,Jiangsu,island,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Jingjiang,https://zh.wikipedia.org/wiki/%E5%AD%A4%E5%B1%B1%E9%95%87_(%E9%9D%96%E6%B1%9F%E5%B8%82),https://loc.gov/resource/g7821rm.gct00058/?sp=2,4,98939,3151,32.065,120.295,,Point,Feature
天妃宫,Tiānfēigōng,Temple of the Celestial Spouse,在今江阴市西北黄田港附近,Huangtian Port,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/List_of_Mazu_temples#China_2,https://zh.wikipedia.org/wiki/%E5%AA%BD%E7%A5%96%E5%BB%9F,https://loc.gov/resource/g7821rm.gct00058/?sp=2,4,98437,1352,31.917,120.256,,Point,Feature
東鞋山,Dōngxiéshān,East Boot Island,"血原图，轴山位置频在江阴北岸附送。西鞋山似指令靖江县东北10乏全里的莉山，持在大江中;，东圭山即东山, 在县城东数公里。成化从年间(1472年) ，因潮沙玲积，两山均与江北岸陆地相连。",,,,Jiangsu,island,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=2,4,98186,3059,,,,Point,Feature
巡司,xúnsī,inspectorate,北通大江，南入横河，明设有石头洪这司,,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=2,4,98117,1301,,,,Point,Feature
石頭港,Shítougǎng,Stone Head Port,张家港,Zhangjiagang,,,Jiangsu,water body,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,https://en.wikipedia.org/wiki/Zhangjiagang,https://zh.wikipedia.org/wiki/%E5%BC%A0%E5%AE%B6%E6%B8%AF%E5%B8%82,https://loc.gov/resource/g7821rm.gct00058/?sp=2,4,98060,1732,31.965,120.413,,Point,Feature
龍王廟,Lóngwángmiào,Dragon King Temple,白塔龍皇廟,Kunshan,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://baike.baidu.com/item/%E7%99%BD%E5%A1%94%E9%BE%99%E7%9A%87%E5%BA%99,https://loc.gov/resource/g7821rm.gct00058/?sp=3,5,97478,1218,31.397,120.985,,Point,Feature
巡司,xúnsī,inspectorate,明初在江阴设有江阴卫，以后迭经变革，改为守御千户所，设有刹港、石头港、昔港、 新港等扩检司，据原图所绘应指蔡港这检司,,,,Jiangsu,building,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,https://zh.wikipedia.org/wiki/%E5%B7%A1%E6%AA%A2%E5%8F%B8,https://loc.gov/resource/g7821rm.gct00058/?sp=3,5,97050,1609,,,,Point,Feature
蔡港,Càigǎng,Weedy Port,张家港市以西附近,,,,Jiangsu,water body,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=3,5,96769,1695,31.980,120.460,,Point,Feature
白茅港,Báimáogǎng,White Thatch Port,白茆口,Baimaokou,,,Jiangsu,water body,,https://baike.baidu.com/item/%E6%96%B0%E7%BC%96%E9%83%91%E5%92%8C%E8%88%AA%E6%B5%B7%E5%9B%BE%E9%9B%86,,,https://loc.gov/resource/g7821rm.gct00058/?sp=3,5,95963,1455,31.726,121.069,,Point,Feature
福山廟,Fúshānmiào,Fortune Mountain Temple,福山廟,Fushan Temple,,,Jiangsu,building,,,,,https://loc.gov/resource/g7821rm.gct00058/?sp=3,5,95474,689,,,,Point,Feature
太倉衛,Tàicāngwèi,Supreme Warehouse Guard,太倉市,Taicang,,,Jiangsu,town,,,https://en.wikipedia.org/wiki/Taicang,https://zh.wikipedia.org/wiki/%E5%A4%AA%E4%BB%93%E5%B8%82,https://loc.gov/resource/g7821rm.gct00058/?sp=3,5,95053,1635,31.477,121.045,,Point,Feature
宝山,Bǎoshān,Treasure Mountain,宝山,Baoshan,,,Shanghai,town,,,"https://en.wikipedia.org/wiki/Baoshan_District,_Shanghai",https://zh.wikipedia.org/wiki/%E5%AE%9D%E5%B1%B1%E5%8C%BA_(%E4%B8%8A%E6%B5%B7%E5%B8%82),https://loc.gov/resource/g7821rm.gct00058/?sp=3,5,95015,3094,31.409,121.494,,Point,Feature
